Sample #,# of round-trip trades ,total return % ,winning trades % ,average losing amount ,kelly criterion ,t-statistic ,max drawdown ,mean ,max ,min ,wtd% ,mtd% ,qtd% ,ytd% ,52wk %chg
325,12,14.1,50%,-2.61333,0.691327,0.77068,30.8841,66.3631,90.498,52.1695,0.966557,1.00825,0.986764,1.05347,0.798726
326,12,15.17,66.6667%,-1.2275,0.938221,1.94278,65.2461,61.7308,103.29,35.1885,1.02555,1.06671,0.854054,0.967219,0.627891
327,13,18.91,61.5385%,-1.564,0.861302,1.38006,59.0236,40.7825,77.5866,16.2548,0.928965,0.994821,1.03276,1.02207,0.53914
328,12,13.61,50%,-2.49167,0.700669,0.849083,7.45183,81.6878,101.93,59.142,1.03294,1.01914,1.0468,1.03847,1.11981
329,13,35.61,76.9231%,-1.66667,0.907692,1.99379,32.4092,97.2821,123.719,63.7913,1.04851,0.990013,1.03085,0.960899,0.953602
330,9,-0.510002,33.3333%,-3.24167,0.538989,-0.0306125,34.528,58.0754,73.7889,39.0255,0.988291,0.699061,0.678704,0.593931,0.647356
331,10,38.68,80%,-0.789999,1.05316,3.08066,23.4547,60.6928,83.5237,44.6808,0.95382,1.01135,1.15225,0.974117,0.862846
332,6,19.04,83.3333%,-1.25,0.966667,3.10789,64.2813,40.1741,81.5498,15.0438,1.01433,1.05795,0.696931,0.98173,0.558688
333,8,0.960003,50%,-4.5675,0.609469,0.0535436,29.2237,68.9623,96.35,47.2712,0.990934,0.922901,1.1027,0.907386,1.04856
334,11,27.54,45.4545%,-1.225,0.899814,1.29918,26.5374,55.6365,77.3732,37.5232,1.01371,1.08551,0.85707,1.10255,0.86837
335,7,2.79,42.8571%,-2.8175,0.631386,0.220506,20.2925,67.28,90.7283,55.4467,1.05085,1.16721,1.09442,1.10006,0.88228
336,9,25.57,66.6667%,-1.80667,0.851168,1.56488,17.5542,75.4009,101.244,52.6621,1.02396,1.07732,1.0169,1.12104,1.1089
337,12,8.84,50%,-2.61167,0.691449,0.484229,72.8204,52.9281,94.6678,21.2295,1.01264,0.877815,0.594246,0.691263,0.51446
338,10,10.31,40%,-2.8,0.614286,0.55138,37.2463,48.675,80.2588,27.1652,0.958964,1.04786,1.19869,1.05346,1.03403
339,12,8.41,50%,-3.79833,0.631637,0.401615,41.536,36.0683,68.26,26.724,0.930456,0.822719,0.927478,0.920733,0.73814
340,15,30.08,53.3333%,-1.12,0.95,1.96286,43.7032,39.6881,68.26,21.953,0.961429,0.992257,0.944521,0.983427,0.662182
